Ano,rede,etapa,disciplina,descricao_padronizada
2016,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO MULTIPLICACAO OU DIVISAO NA RESOLUCAO DE PROBLEMAS
2022,ESTADUAL,9º ANO EF,MATEMATICA,UTILIZAR DADOS APRESENTADOS EM TABELAS OU GRAFICOS NA RESOLUCAO DE PROBLEMAS
2016,MUNICIPAL,5º ANO EF,MATEMATICA,CORRESPONDER DIFERENTES REPRESENTACOES DE UM NUMERO RACIONAL
2019,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS NATURAIS ENVOLVENDO DIFERENTES SIGNIFICADOS DA ADICAO OU SUBTRACAO NA RESOLUCAO DE PROBLEMAS
2024,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,INFERIR UMA INFORMACAO IMPLICITA EM UM TEXTO.
2021,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,IDENTIFICAR O TEMA OU O SENTIDO GLOBAL DE UM TEXTO
2023,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO MULTIPLICACAO OU DIVISAO NA RESOLUCAO DE PROBLEMAS
2024,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,INFERIR O SENTIDO DE UMA PALAVRA OU EXPRESSAO.
2019,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,DISTINGUIR UM FATO DE UMA OPINIAO EM UM TEXTO
2023,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR FRACAO COMO REPRESENTACAO QUE PODE ESTAR ASSOCIADA A DIFERENTES SIGNIFICADOS
2022,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR INFORMACOES A PARTIR DE DADOS DISPOSTOS EM TABELAS
2022,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO DIFERENTES SIGNIFICADOS DA ADICAO EOU SUBTRACAO NA RESOLUCAO DE PROBLEMAS
2022,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,INFERIR INFORMACOES EM UM TEXTO
